Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
h2_motor,0.0169499999991866,-1.57951321320203E-14,1.11022302462516E-16,0,0,0,0.0639266195717556,1.91859766989732E-05,3.23421492540524E-18,1.00736135408911E-21,1.57150808893247E-05,-2.09931822021091E-21,1.57150808893247E-05,0,0,0,0,0,0,package://simple3/meshes/h2_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/h2_motor.STL,,simple2云台2-1,h2_co,h2_axis,h2_motor,fixed,-0.0038999999990365,0,0.0370000000000029,0,0,0,h1_link,0,0,0,,,,,,,,,,,,
l1_link,-0.0248582980555671,0.0133433903281259,0.00132674380400122,0,0,0,0.0358741287455098,1.59850586623028E-05,-7.37679925412549E-06,-1.22033215413126E-06,3.06829214388225E-05,4.47714905727848E-07,2.95589653394949E-05,0,0,0,0,0,0,package://simple3/meshes/l1_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l1_link.STL,,simple21整车v5.9Sv_arm_v3.5_S&S_Link_SV01&SV02_DH-03&DH-03-1,l1_co,l1_axis,l1_joint,revolute,-0.111999999998029,0,0.0799999999999754,0,0,0,raise_link,-1,0,0,0,0,0,0,,,,,,,,
l2_link,-0.0542908494753834,-0.00585526454882358,0.000374747363474093,0,0,0,0.0698449760510581,4.95086889285362E-05,2.19631184638506E-05,3.50235565849664E-07,0.000119814064943025,2.78611670170576E-07,0.000103591792391496,0,0,0,0,0,0,package://simple3/meshes/l2_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l2_link.STL,,simple21整车v5.9Sv_arm_v3.4_双臂v2.0S&S_Link_SV02&SV03_DH-03&RDS5160-1,l2_co,l2_axis,l2_joint,revolute,-0.0504999999988377,0.0357499999937866,-0.0200000000000022,0,0,0,l1_link,0,1,0,0,0,0,0,,,,,,,,
l3_link,-0.0758564390080181,2.36408521503059E-13,0.0220517939410472,0,0,0,0.039919606065731,9.08485744595424E-06,-2.05429106032036E-18,-1.43917082550238E-05,0.00014310692923575,2.00828955361821E-19,0.000140111571099397,0,0,0,0,0,0,package://simple3/meshes/l3_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l3_link.STL,,simple21v5.9Sv_arm_v3.5_S&E_link_03SV&01SV_RDS5160&RDS5160-1,l3_co,l3_aixs,l3_joint,revolute,-0.147500000001163,-0.0357500000002377,0.0200000000000035,0,0,0,l2_link,-1,0,0,0,0,0,0,,,,,,,,
l4_link,-0.109544614774018,-0.0174351060530148,-0.0338030166838402,0,0,0,0.164695050003031,5.20258720493906E-05,2.79734120457514E-05,2.36313843345709E-05,0.000605002143526508,-3.12373208847124E-07,0.000582833705606218,0,0,0,0,0,0,package://simple3/meshes/l4_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple3/meshes/l4_link.STL,,simple21v5.9forearmv3.5_E&W_link_01SV&01SV-1,l4_co,l4_axis,l4_joint,revolute,-0.202499999999972,0,0.0322000000000007,0,0,0,l3_link,0,0,1,0,0,0,0,,,,,,,,
l5_link,-0.0181741743699587,1.42967063695078E-11,-0.0187294075211327,0,0,0,0.0155742741372983,3.54666398403629E-06,-5.46482431782759E-18,1.95490630121391E-06,6.9516244756945E-06,-3.21120422560449E-18,5.75827741260737E-06,0,0,0,0,0,0,package://simple3/meshes/l5_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l5_link.STL,,simple21v5.9forearmv3.5_W&W_link_01SV&02SV_DS3235SG&RDS5160-1,l5_co,l5_axis,l5_joint,revolute,-0.225749999999173,0,-0.0321499999999831,0,0,0,l4_link,-1,0,0,0,0,0,0,,,,,,,,
l6_motor,-0.0546987949569473,-3.50584673695088E-11,0.00163863646025508,0,0,0,0.0993962384458732,2.96595927409613E-05,3.47666449456684E-22,-3.0215145417828E-06,5.7712878736446E-05,-1.37818820106175E-21,4.27453628206454E-05,0,0,0,0,0,0,package://simple3/meshes/l6_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l6_motor.STL,,simple2舵机2-3,l5_co,l5_axis,l6_motor,fixed,0,0,0,0,0,0,l5_link,0,0,0,,,,,,,,,,,,
l5_motor,0.0247976093975618,-2.52786625951873E-14,-0.00943497153944273,0,0,0,0.0339163715186898,5.6099610166462E-06,-4.20053025345205E-18,-4.16764992507139E-07,9.7286373850921E-06,4.20689022892503E-19,6.34782827771373E-06,0,0,0,0,0,0,package://simple3/meshes/l5_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l5_motor.STL,,simple2舵机3-1,l5_co,l5_axis,l5_motor,fixed,-0.225749999999173,0,-0.0321499999999831,0,0,0,l4_link,0,0,0,,,,,,,,,,,,
l4_motor,0.0185512050438822,2.1524703487765E-18,-0.0305613635397507,0,0,0,0.0993962384458733,2.96595927409613E-05,-5.14268873255135E-21,-3.02151454178279E-06,5.7712878736446E-05,-7.86213911513501E-22,4.27453628206455E-05,0,0,0,0,0,0,package://simple3/meshes/l4_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l4_motor.STL,,simple2舵机2-2,l4_co,l4_axis,l4_motor,fixed,-0.202499999999972,0,0.0322000000000007,0,0,0,l3_link,0,0,0,,,,,,,,,,,,
l3_motor,0.0290613635397518,-4.38050921364123E-17,-0.0185512050438823,0,0,0,0.0993962384458731,4.27453628206454E-05,-3.46203642532307E-20,-3.02151454178278E-06,5.77128787364459E-05,-3.58022298061548E-20,2.96595927409612E-05,0,0,0,0,0,0,package://simple3/meshes/l3_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l3_motor.STL,,simple2舵机2-1,l3_co,l3_aixs,l3_motor,fixed,-0.147500000001163,-0.0357500000002377,0.0200000000000035,0,0,0,l2_link,0,0,0,,,,,,,,,,,,
l2_motor,-5.09037256790634E-14,-0.0547760289639129,0.0271786714603754,0,0,0,0.356252756325458,0.000438145788028762,6.45149792325876E-17,-4.75068391098433E-17,0.000368682114638457,-5.12893673548324E-05,0.0002646583507822,0,0,0,0,0,0,package://simple3/meshes/l2_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/l2_motor.STL,,simple2舵机1-2,l2_co,l2_axis,l2_motor,fixed,-0.0504999999988377,0.0357499999937866,-0.0200000000000022,0,0,0,l1_link,0,0,0,,,,,,,,,,,,
